video_key,model,dimension,score_llm,auto_video_id,Bleu_4,ROUGE_L,CIDEr,METEOR,R@4
rMZtiiLAqoY,Llama 4,conciseness,70.0,v_rMZtiiLAqoY,0.0,15.9895,0.0917,9.0416,3.4483
rMZtiiLAqoY,Llama 4,relevance,10.0,v_rMZtiiLAqoY,0.0,15.9895,0.0917,9.0416,3.4483
rMZtiiLAqoY,SkimCap,accuracy,5.0,v_rMZtiiLAqoY,17.3322,35.9157,10.7621,35.8622,0.0
rMZtiiLAqoY,SkimCap,completeness,3.0,v_rMZtiiLAqoY,17.3322,35.9157,10.7621,35.8622,0.0
rMZtiiLAqoY,SkimCap,conciseness,10.0,v_rMZtiiLAqoY,17.3322,35.9157,10.7621,35.8622,0.0
rMZtiiLAqoY,SkimCap,relevance,5.0,v_rMZtiiLAqoY,17.3322,35.9157,10.7621,35.8622,0.0
bvnXdr-Hre4,GPT-4.1,accuracy,65.0,v_bvnXdr-Hre4,0.0009,23.6893,2.341,21.2014,0.0
bvnXdr-Hre4,GPT-4.1,completeness,55.0,v_bvnXdr-Hre4,0.0009,23.6893,2.341,21.2014,0.0
bvnXdr-Hre4,GPT-4.1,conciseness,75.0,v_bvnXdr-Hre4,0.0009,23.6893,2.341,21.2014,0.0
bvnXdr-Hre4,GPT-4.1,relevance,60.0,v_bvnXdr-Hre4,0.0009,23.6893,2.341,21.2014,0.0
bvnXdr-Hre4,Llama 4,accuracy,40.0,v_bvnXdr-Hre4,0.0015,19.8605,39.7488,31.7018,0.0
bvnXdr-Hre4,Llama 4,completeness,55.0,v_bvnXdr-Hre4,0.0015,19.8605,39.7488,31.7018,0.0
bvnXdr-Hre4,Llama 4,conciseness,85.0,v_bvnXdr-Hre4,0.0015,19.8605,39.7488,31.7018,0.0
bvnXdr-Hre4,Llama 4,relevance,60.0,v_bvnXdr-Hre4,0.0015,19.8605,39.7488,31.7018,0.0
bvnXdr-Hre4,SkimCap,accuracy,30.0,v_bvnXdr-Hre4,15.7739,31.9629,28.5946,35.3048,4.1667
bvnXdr-Hre4,SkimCap,completeness,25.0,v_bvnXdr-Hre4,15.7739,31.9629,28.5946,35.3048,4.1667
bvnXdr-Hre4,SkimCap,conciseness,60.0,v_bvnXdr-Hre4,15.7739,31.9629,28.5946,35.3048,4.1667
bvnXdr-Hre4,SkimCap,relevance,35.0,v_bvnXdr-Hre4,15.7739,31.9629,28.5946,35.3048,4.1667
j4Ru2L4u0Qk,GPT-4.1,accuracy,95.0,v_j4Ru2L4u0Qk,0.0,27.3815,22.4679,22.8013,0.0
j4Ru2L4u0Qk,GPT-4.1,completeness,88.0,v_j4Ru2L4u0Qk,0.0,27.3815,22.4679,22.8013,0.0
j4Ru2L4u0Qk,GPT-4.1,conciseness,96.0,v_j4Ru2L4u0Qk,0.0,27.3815,22.4679,22.8013,0.0
j4Ru2L4u0Qk,GPT-4.1,relevance,98.0,v_j4Ru2L4u0Qk,0.0,27.3815,22.4679,22.8013,0.0
j4Ru2L4u0Qk,Llama 4,accuracy,85.0,v_j4Ru2L4u0Qk,19.6243,38.9362,100.8148,38.7715,0.0
j4Ru2L4u0Qk,Llama 4,completeness,75.0,v_j4Ru2L4u0Qk,19.6243,38.9362,100.8148,38.7715,0.0
j4Ru2L4u0Qk,Llama 4,conciseness,90.0,v_j4Ru2L4u0Qk,19.6243,38.9362,100.8148,38.7715,0.0
j4Ru2L4u0Qk,Llama 4,relevance,100.0,v_j4Ru2L4u0Qk,19.6243,38.9362,100.8148,38.7715,0.0
j4Ru2L4u0Qk,SkimCap,accuracy,10.0,v_j4Ru2L4u0Qk,0.0,31.7341,41.7536,28.8101,25.0
j4Ru2L4u0Qk,SkimCap,completeness,15.0,v_j4Ru2L4u0Qk,0.0,31.7341,41.7536,28.8101,25.0
j4Ru2L4u0Qk,SkimCap,conciseness,70.0,v_j4Ru2L4u0Qk,0.0,31.7341,41.7536,28.8101,25.0
j4Ru2L4u0Qk,SkimCap,relevance,20.0,v_j4Ru2L4u0Qk,0.0,31.7341,41.7536,28.8101,25.0
7ZbH4vHTmVs,GPT-4.1,accuracy,92.0,v_7ZbH4vHTmVs,6.7051,28.0644,0.0,28.7463,0.0
7ZbH4vHTmVs,GPT-4.1,completeness,88.0,v_7ZbH4vHTmVs,6.7051,28.0644,0.0,28.7463,0.0
7ZbH4vHTmVs,GPT-4.1,conciseness,95.0,v_7ZbH4vHTmVs,6.7051,28.0644,0.0,28.7463,0.0
7ZbH4vHTmVs,GPT-4.1,relevance,97.0,v_7ZbH4vHTmVs,6.7051,28.0644,0.0,28.7463,0.0
7ZbH4vHTmVs,Llama 4,accuracy,70.0,v_7ZbH4vHTmVs,0.001,23.978,0.057,26.1539,0.0
7ZbH4vHTmVs,Llama 4,completeness,65.0,v_7ZbH4vHTmVs,0.001,23.978,0.057,26.1539,0.0
7ZbH4vHTmVs,Llama 4,conciseness,75.0,v_7ZbH4vHTmVs,0.001,23.978,0.057,26.1539,0.0
7ZbH4vHTmVs,Llama 4,relevance,70.0,v_7ZbH4vHTmVs,0.001,23.978,0.057,26.1539,0.0
7ZbH4vHTmVs,SkimCap,accuracy,55.0,v_7ZbH4vHTmVs,18.98,39.6963,144.415,38.0887,0.0
7ZbH4vHTmVs,SkimCap,completeness,50.0,v_7ZbH4vHTmVs,18.98,39.6963,144.415,38.0887,0.0
7ZbH4vHTmVs,SkimCap,conciseness,75.0,v_7ZbH4vHTmVs,18.98,39.6963,144.415,38.0887,0.0
7ZbH4vHTmVs,SkimCap,relevance,60.0,v_7ZbH4vHTmVs,18.98,39.6963,144.415,38.0887,0.0
rmoa-Ffel2k,GPT-4.1,accuracy,30.0,v_rmoa-Ffel2k,0.0,20.8062,8.9448,17.7515,2.0833
rmoa-Ffel2k,GPT-4.1,completeness,25.0,v_rmoa-Ffel2k,0.0,20.8062,8.9448,17.7515,2.0833
rmoa-Ffel2k,GPT-4.1,conciseness,80.0,v_rmoa-Ffel2k,0.0,20.8062,8.9448,17.7515,2.0833
rmoa-Ffel2k,GPT-4.1,relevance,35.0,v_rmoa-Ffel2k,0.0,20.8062,8.9448,17.7515,2.0833
rmoa-Ffel2k,Llama 4,accuracy,10.0,v_rmoa-Ffel2k,0.0011,19.4336,14.4487,19.5353,0.0
rmoa-Ffel2k,Llama 4,completeness,10.0,v_rmoa-Ffel2k,0.0011,19.4336,14.4487,19.5353,0.0
rmoa-Ffel2k,Llama 4,conciseness,40.0,v_rmoa-Ffel2k,0.0011,19.4336,14.4487,19.5353,0.0
rmoa-Ffel2k,Llama 4,relevance,10.0,v_rmoa-Ffel2k,0.0011,19.4336,14.4487,19.5353,0.0
rmoa-Ffel2k,SkimCap,accuracy,30.0,v_rmoa-Ffel2k,26.2679,44.9474,50.9406,41.3301,0.0
rmoa-Ffel2k,SkimCap,completeness,25.0,v_rmoa-Ffel2k,26.2679,44.9474,50.9406,41.3301,0.0
rmoa-Ffel2k,SkimCap,conciseness,60.0,v_rmoa-Ffel2k,26.2679,44.9474,50.9406,41.3301,0.0
rmoa-Ffel2k,SkimCap,relevance,35.0,v_rmoa-Ffel2k,26.2679,44.9474,50.9406,41.3301,0.0
bXdq2zI1Ms0,GPT-4.1,accuracy,55.0,v_bXdq2zI1Ms0,0.0,12.344,0.0045,18.0921,0.0
bXdq2zI1Ms0,GPT-4.1,completeness,60.0,v_bXdq2zI1Ms0,0.0,12.344,0.0045,18.0921,0.0
bXdq2zI1Ms0,GPT-4.1,conciseness,75.0,v_bXdq2zI1Ms0,0.0,12.344,0.0045,18.0921,0.0
bXdq2zI1Ms0,GPT-4.1,relevance,60.0,v_bXdq2zI1Ms0,0.0,12.344,0.0045,18.0921,0.0
bXdq2zI1Ms0,Llama 4,accuracy,55.0,v_bXdq2zI1Ms0,0.0,13.1749,1.1471,8.7108,2.9412
bXdq2zI1Ms0,Llama 4,completeness,60.0,v_bXdq2zI1Ms0,0.0,13.1749,1.1471,8.7108,2.9412
bXdq2zI1Ms0,Llama 4,conciseness,75.0,v_bXdq2zI1Ms0,0.0,13.1749,1.1471,8.7108,2.9412
bXdq2zI1Ms0,Llama 4,relevance,60.0,v_bXdq2zI1Ms0,0.0,13.1749,1.1471,8.7108,2.9412
bXdq2zI1Ms0,SkimCap,accuracy,15.0,v_bXdq2zI1Ms0,0.0,17.712,15.9375,19.0692,7.4074
bXdq2zI1Ms0,SkimCap,completeness,20.0,v_bXdq2zI1Ms0,0.0,17.712,15.9375,19.0692,7.4074
bXdq2zI1Ms0,SkimCap,conciseness,10.0,v_bXdq2zI1Ms0,0.0,17.712,15.9375,19.0692,7.4074
bXdq2zI1Ms0,SkimCap,relevance,15.0,v_bXdq2zI1Ms0,0.0,17.712,15.9375,19.0692,7.4074
-UwqKYkkKlU,GPT-4.1,accuracy,90.0,v_-UwqKYkkKlU,0.0,24.3236,2.1142,17.3077,0.0
-UwqKYkkKlU,GPT-4.1,completeness,75.0,v_-UwqKYkkKlU,0.0,24.3236,2.1142,17.3077,0.0
-UwqKYkkKlU,GPT-4.1,conciseness,95.0,v_-UwqKYkkKlU,0.0,24.3236,2.1142,17.3077,0.0
-UwqKYkkKlU,GPT-4.1,relevance,95.0,v_-UwqKYkkKlU,0.0,24.3236,2.1142,17.3077,0.0
-UwqKYkkKlU,Llama 4,accuracy,92.0,v_-UwqKYkkKlU,0.0011,28.4751,15.6977,33.9752,0.0
-UwqKYkkKlU,Llama 4,completeness,85.0,v_-UwqKYkkKlU,0.0011,28.4751,15.6977,33.9752,0.0
-UwqKYkkKlU,Llama 4,conciseness,95.0,v_-UwqKYkkKlU,0.0011,28.4751,15.6977,33.9752,0.0
-UwqKYkkKlU,Llama 4,relevance,93.0,v_-UwqKYkkKlU,0.0011,28.4751,15.6977,33.9752,0.0
-UwqKYkkKlU,SkimCap,accuracy,80.0,v_-UwqKYkkKlU,0.0011,34.3574,7.5246,35.9608,5.5556
-UwqKYkkKlU,SkimCap,completeness,65.0,v_-UwqKYkkKlU,0.0011,34.3574,7.5246,35.9608,5.5556
-UwqKYkkKlU,SkimCap,conciseness,85.0,v_-UwqKYkkKlU,0.0011,34.3574,7.5246,35.9608,5.5556
-UwqKYkkKlU,SkimCap,relevance,75.0,v_-UwqKYkkKlU,0.0011,34.3574,7.5246,35.9608,5.5556
